playlist_id,playlist_title,video_id
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,gU7THcKzuA0
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,TeriPvdOlao
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,_SOYOp_rheg
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,2S9PV3jpB-w
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,BtN9nqMgQfs
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,6L-6F20sxQo
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,379c-INDgGE
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,VWXqW74Jn6E
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,mH04GOxf4KM
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,TmfK2_ZFv5o
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,I5kvV83sE9M
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,NB1rIcx_-GY
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,EiA7DywYAE8
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,9WKprDd5tek
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,813TxcD69J4
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,ANmdH3qL8bM
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,yGOlb34k1y8
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,rnVzCZjbNm0
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,ZeMoX-buhnk
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,ll-K9YjudzQ
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,D_gQpO-OXwY
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,GWIJn3dhVYs
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,bcogQgHPp8Y
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,6h8uL4kHNOM
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,rAjJOEzd1Mk
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,riJ74PMRclk
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,QLz4NHVLIEU
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,4XiAe0CpHnk
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,27-A6Q9DDJI
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,xLCH_SnxqLA
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,mMxojDEX63U
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,Z915hUW2O5c
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,7AcQEFOzlG8
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,3HfySSc_lUo
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,3oh11pzwasI
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,mZGhwYbI228
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,zBlagUaXXpQ
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,K3JCtxN-s9E
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,fO2_1Y3ayg8
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,zrks-RJBevI
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,g33VgDeNmj0
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,Kiq7NtZqFkc
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,s40rKN5x87o
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,RfaLJNVY7I4
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,w5F_BwVpGcw
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,94zXtNbur_8
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,VLg28VfoAiw
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,4mRKCOd1iSs
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,UI4qaGsJDiU
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,MBSYAGEFhS4
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,mEr4EKUDv9w
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,aR2NbizURl4
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,D97FI8j0Dc4
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,1l-EbNLw-6U
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,W8PC9co0VUg
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,9WI5mM6uwmk
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,X6Ni1fR7nis
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,WyOwyIwsryk
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,14nwvHFgobw
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,94e3h270CbU
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,XconAsyXhxY
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,n6FTJBt8JrI
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,7ptN51Hy9Qs
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,YcxysgD1u9I
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,Yq9z6C5CG9E
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,2DIcqubK4wE
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,imdxb-jKQkI
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,1T3l89ynyNw
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,JAB2pjWZ37M
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,JLlHcn8OLKA
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,KlmInezyFzE
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,rffQ1g7u5dM
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,y-g_ge186jc
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,rTMUn2fACKo
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,zYN812Kcp-I
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,VQgBpwDFvf0
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,sgF9VQmp4Uk
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,3DJqV90xbSU
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,oj4t67NphQM
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,Yo0aUUDfJBs
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,nzctY7-0iOM
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,mL8zNIOC1mQ
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,1fGoMhtd2Mk
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,UAPDLgAdjl0
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,ZqyWvqcsES8
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,parB_9rI26c
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,RZ3fjvslGV8
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,qNkABBNsAfY
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,lieNIH4oC4M
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,BNmoH_VQ1Jc
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,zJ6wdgyzulI
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,AzW9zD-9-4k
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,LMb7ekMncbk
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,vA_sUJ8nJkA
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,RyL93wmu4Bw
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,BG3KpDpjqgk
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,v4-yfFvdn1o
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,mukn6iyMTnI
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,KxJoCy_Ne7A
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,qjGVbwhi1_s
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,CktD9VWEm7o
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,UPmAXnkH8a8
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,SnJqNxrnSiw
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,iJ9oWTDMXFk
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,_crJpycF8vM
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,eVQndNsyB0s
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,CsSykrO_tBo
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,SddvQt4O5pM
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,9m8-8ZxdE-I
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,OGOZ1JTtMo8
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,diB3HfgmRfU
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,7izY9s2tjxI
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,_pJkkQiyEvU
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,jFF8lrS58eA
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,qLqrKmJRN4g
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,LPlzcImS5UI
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,MERf39-K2W8
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,qPVc3wGVR_0
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,-EXmSRu_STQ
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,cZWITBoVaaY
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,dd9jXggStZw
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,Chds68Zgdts
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,vsMKLYP7LsY
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,7HGc7TFbnQU
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,Vtaao8pBFXY
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,dfs-fR1lYUU
